rootX,rootY,rootZ
0.00551626,0.0464017,-0.0998193
-0.0256956,0.0100246,-0.0791811
-0.0186993,-0.0387246,-0.0393163
0.0183605,-0.047701,0.012334
0.0273855,0.0208503,0.0725961
-0.00135926,0.100128,0.114787
-0.0218734,0.113774,0.109317
0.010514,0.0520468,0.0541248
0.0918793,-0.0211236,-0.0200513
0.165609,-0.0620738,-0.080826
0.179391,-0.074451,-0.0994639
0.135511,-0.0607989,-0.0667353
0.0738583,-0.0303495,-0.0139502
0.0285357,-0.0252256,0.00124531
0.00788259,-0.0679738,-0.0497041
0.00101313,-0.1124,-0.13963
-0.000338883,-0.0922261,-0.204994
0,0.00699849,-0.1906
0,0.114201,-0.10618
0,0.155851,0.000863125
0,0.135649,0.0913213
0,0.0958757,0.153938
0,0.0749768,0.186325
0,0.0657499,0.175999
0,0.0215504,0.119149
0,-0.0751261,0.046972
0,-0.180752,0.00116828
0.00135905,-0.219347,-0.0149022
-0.0055104,-0.163175,-0.0223231
-0.0275156,-0.0495255,-0.0220251
-0.0790299,0.0323239,-0.000546235
-0.167096,0.0181997,0.0376281
-0.25427,-0.0513727,0.0721695
-0.29425,-0.0835259,0.0912318
-0.249606,-0.0399501,0.0897976
-0.122918,0.0422243,0.0688901
0.0208636,0.0852261,0.0414009
0.10486,0.041228,0.0165307
0.107313,-0.0505502,0.00125353
0.0659768,-0.112403,0.000933791
0.0275238,-0.10965,0.0140622
0.00822003,-0.0600964,0.0304895
0.00101226,0.00142336,0.031108
-0.00033876,0.0653726,0.00522201
1.86265e-08,0.135827,-0.0405063
1.86265e-08,0.186524,-0.0945491
1.86265e-08,0.1862,-0.134857
1.86265e-08,0.13675,-0.136117
1.86265e-08,0.073424,-0.0922956
1.86265e-08,0.0286508,-0.0124428
1.86265e-08,0.00789881,0.0793946
1.86265e-08,0.000898839,0.146933
1.86265e-08,-0.00032425,0.158795
1.86265e-08,0,0.111065
1.86265e-08,0,0.0380626
1.86265e-08,0,-0.0131976
-0.00135899,0,-0.0229928
0.00551006,0,-0.00675613
0.0288746,0.00134975,0.00487971
0.0735208,-0.00679792,-0.00561529
0.136865,-0.0219757,-0.0348108
0.187619,-0.0503013,-0.0721501
0.179391,-0.0920741,-0.10246
0.113499,-0.122877,-0.111811
0.0302337,-0.136951,-0.107196
-0.0403183,-0.138073,-0.105415
-0.0703901,-0.117449,-0.108346
-0.0725057,-0.0629765,-0.102713
-0.0878048,0.0207496,-0.0743058
-0.122918,0.115075,-0.0189548
-0.141277,0.179724,0.0435848
-0.11621,0.18495,0.0754491
-0.0666501,0.137075,0.0605185
-0.0271828,0.073424,0.0191672
-0.00822197,0.0286508,-0.0157407
-0.00101401,0.00789881,-0.029547
0.00033902,0.000898839,-0.0283493
1.86265e-08,-0.00032425,-0.0225843
1.86265e-08,0,-0.0192503
1.86265e-08,0,-0.0200842
1.86265e-08,0,-0.0218955
1.86265e-08,0.00134975,-0.0144683
0.00135902,-0.00544787,0.000998542
-0.00686899,-0.030151,0.00786803
-0.0233648,-0.0680012,0.00295474
-0.0446443,-0.109299,-0.0141803
-0.0647028,-0.10595,-0.0263545
-0.0438873,-0.0260994,-0.00851429
0.0288747,0.0941006,0.0309753
0.122916,0.176048,0.0518886
0.200208,0.157752,0.0267503
0.232604,0.0655273,-0.0157735
0.200044,-0.0205493,-0.0413168
0.120368,-0.0605018,-0.052015
0.0302266,-0.0728781,-0.0753326
-0.0351468,-0.0945006,-0.122436
-0.0415154,-0.143724,-0.159216
0.00101305,-0.187625,-0.155586
0.0490592,-0.18585,-0.124885
0.0633439,-0.13675,-0.092544
0.0449834,-0.0734494,-0.0689929
0.0206532,-0.0297982,-0.0508756
0.00686946,-0.00245214,-0.0283003
0.00135201,0.0276745,0.004513
-0.000338883,0.0739748,0.0454864
0,0.136926,0.0826068
0,0.186175,0.0954083
0,0.1862,0.0798233
